area_type,availability,location,total_sqft,bath,balcony,price,bhk
Plot  Area,Ready To Move,Double Road,500,3.0,2.0,100.0,3.0
Super built-up  Area,20-Aug,Begur Road,1358,2.0,1.0,80.58,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,1569,3.0,1.0,101.0,3.0
Super built-up  Area,18-Apr,Haralur Road,1240,2.0,1.0,70.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,2089,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Kothannur,1206,2.0,1.0,48.23,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1150,2.0,3.0,40.0,2.0
Built-up  Area,Ready To Move,Cholanayakanahalli,2511,3.0,3.0,205.0,3.0
Built-up  Area,Ready To Move,Kaval Byrasandra,460,1.0,0.0,22.0,2.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,1660,2.0,2.0,105.0,3.0
Super built-up  Area,19-Mar,Yelahanka,1326,2.0,2.0,78.0,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,1325,2.0,2.0,60.8,3.0
Super built-up  Area,Ready To Move,EPIP Zone,1499,5.0,2.0,102.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,1665,3.0,2.0,88.0,3.0
Super built-up  Area,17-Sep,Dasanapura,708,2.0,2.0,37.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,1060,2.0,2.0,58.06,2.0
Built-up  Area,Ready To Move,Sanjay nagar,1000,2.0,2.0,70.0,2.0
Super built-up  Area,18-Dec,Electronic City,1000,2.0,1.0,28.88,2.0
Super built-up  Area,Ready To Move, Mysore Highway,1450,2.0,2.0,70.0,3.0
Plot  Area,Ready To Move,ISRO Layout,1200,4.0,2.0,155.0,4.0
Super built-up  Area,17-Aug,Thanisandra,1296,2.0,3.0,80.0,2.0
Super built-up  Area,Ready To Move,Domlur,1540,3.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1330,2.0,1.0,48.0,3.0
Built-up  Area,Ready To Move,Devasthanagalu,1200,2.0,1.0,65.0,2.0
Built-up  Area,Ready To Move,T Dasarahalli,1200,3.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2502,3.0,3.0,138.0,3.0
Built-up  Area,Ready To Move,Chandapura,650,1.0,1.0,17.0,2.0
Plot  Area,Ready To Move,Kothanur,2400,2.0,1.0,150.0,3.0
Super built-up  Area,Ready To Move,Green View Layout,1007,2.0,2.0,43.0,2.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,1200,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Peenya,966,2.0,2.0,49.9,2.0
Built-up  Area,Ready To Move,Nagarbhavi,1630,2.0,1.0,98.0,3.0
Built-up  Area,Ready To Move,Jalahalli West,782,2.0,2.0,55.68,2.0
Super built-up  Area,19-Apr,Devanahalli,1260,2.0,2.0,66.78,2.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,1800,3.0,3.0,120.0,3.0
Super built-up  Area,Ready To Move,Byatarayanapura,1413,2.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1116,2.0,1.0,51.91,2.0
Super built-up  Area,Ready To Move,Electronic City,1530,2.0,1.0,45.9,3.0
Built-up  Area,Ready To Move,Sarjapur  Road,2497,3.0,2.0,140.0,3.0
Super built-up  Area,Ready To Move,Kengeri,1540,2.0,3.0,64.0,3.0
Super built-up  Area,18-Dec,Thanisandra,1436,3.0,1.0,74.75,3.0
Super built-up  Area,18-Jun,Malleshwaram,1100,2.0,2.0,75.0,2.0
Plot  Area,Ready To Move,Hennur Road,276,3.0,3.0,23.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1427,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2061,3.0,1.0,200.0,3.0
Built-up  Area,Ready To Move,Shampura,2650,4.0,2.0,150.0,4.0
Super built-up  Area,22-Dec,Devanahalli,1282,2.0,2.0,68.52,3.0
Built-up  Area,Ready To Move,Kadugodi,1050,2.0,1.0,34.0,2.0
Built-up  Area,Ready To Move,LB Shastri Nagar,1600,3.0,2.0,65.0,3.0
Super built-up  Area,22-Jan,Vajarahalli,945,2.0,1.0,54.0,2.0
Super built-up  Area,Ready To Move,Hormavu,1500,2.0,1.0,78.0,2.0
Built-up  Area,Ready To Move,Peenya,1870,3.0,3.0,110.0,3.0
Plot  Area,Ready To Move,Sarjapur,1600,3.0,1.0,75.0,3.0
Super built-up  Area,Ready To Move,Electronic City,880,1.0,1.0,16.5,2.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,1200,4.0,0.0,210.0,4.0
Super built-up  Area,Ready To Move,Kudlu Gate,1535,3.0,2.0,83.0,3.0
Built-up  Area,Ready To Move,Kanakpura Road,950,2.0,1.0,57.0,2.0
Super built-up  Area,18-Aug,Devanahalli,1360,2.0,1.0,65.0,2.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,1042 - 1105,2.0,0.0,54.005,2.0
Super built-up  Area,18-May,Bommasandra Industrial Area,1280,3.0,1.0,50.4,3.0
Super built-up  Area,19-Jan,Chandra Layout,1260,2.0,2.0,85.05,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3.0
Super built-up  Area,Ready To Move,ISRO Layout,1000,2.0,1.0,60.0,2.0
Super built-up  Area,17-Jul,Anandapura,1167,2.0,1.0,43.76,2.0
Super built-up  Area,Ready To Move,Kothanur,1828,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,890,2.0,1.0,35.0,2.0
Super built-up  Area,Ready To Move,Basavanapura,1612,3.0,3.0,46.74,3.0
Plot  Area,Ready To Move,Dinnur,1034,5.0,2.0,185.0,6.0
Super built-up  Area,19-Apr,Mysore Road,1710,4.0,2.0,91.31,3.0
Super built-up  Area,Ready To Move,Kannamangala,957,2.0,1.0,58.0,2.0
Super built-up  Area,18-May, Devarachikkanahalli,1250,2.0,3.0,44.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,1125,2.0,2.0,50.0,2.0
Super built-up  Area,18-Jul,Electronic City Phase II,1020,2.0,1.0,30.6,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1200,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1735,3.0,3.0,135.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,2050,3.0,1.0,145.0,3.0
Built-up  Area,Ready To Move,Yarandahalli,1350,2.0,3.0,48.0,3.0
Super built-up  Area,18-May,Hosa Road,1063,2.0,1.0,32.0,2.0
Super built-up  Area,Ready To Move,Keshava Nagar,1904,3.0,1.0,150.0,3.0
Super built-up  Area,Ready To Move,RMV Extension,2000,3.0,1.0,175.0,3.0
Super built-up  Area,18-Dec,Sarjapur,1145 - 1340,2.0,0.0,43.49,2.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,1425,2.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1500,2.0,1.0,64.5,3.0
Built-up  Area,Ready To Move,Electronic City,1060,2.0,1.0,60.0,2.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,1470,2.0,2.0,70.0,3.0
Super built-up  Area,Ready To Move,Attibele,450,1.0,1.0,11.0,1.0
Super built-up  Area,18-Apr,Electronic City,1152,2.0,1.0,64.5,2.0
Super built-up  Area,Ready To Move,Electronic City,1350,2.0,1.0,56.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1550,3.0,3.0,65.0,3.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,1500,3.0,2.0,100.0,3.0
Plot  Area,Ready To Move,Kumaraswami Layout,600,3.0,2.0,85.0,5.0
Plot  Area,Ready To Move,Nagavara,400,1.0,0.0,14.0,1.0
Super built-up  Area,Ready To Move,Malleshwaram,705,1.0,2.0,67.0,1.0
Built-up  Area,Ready To Move,Electronic City,770,1.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,1242,2.0,3.0,51.0,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,1700,3.0,2.0,155.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,2144,3.0,2.0,145.0,3.0
Super built-up  Area,21-Jun,Vijayanagar,1704,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1070,2.0,1.0,52.0,2.0
Super built-up  Area,Ready To Move,Jakkuru Layout,1340,2.0,2.0,55.7,2.0
Built-up  Area,Ready To Move,Electronic City,1025,2.0,1.0,46.0,2.0
Super built-up  Area,Ready To Move,KR Puram,1015 - 1540,2.0,0.0,56.8,2.0
Super built-up  Area,Ready To Move,Marathahalli,1200,2.0,2.0,52.0,2.0
Built-up  Area,18-Dec,Kanakpura Road,2250,4.0,1.0,110.0,4.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,1550,2.0,3.0,80.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,1200,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,1327,2.0,2.0,98.0,2.0
Super built-up  Area,Ready To Move,Kothanur,1186,2.0,2.0,58.0,2.0
Built-up  Area,Ready To Move,MS Pallya,1783,3.0,1.0,115.0,3.0
Super built-up  Area,Ready To Move,HSR Layout,1400,3.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Nagasandra,980,2.0,1.0,48.0,2.0
Super built-up  Area,Ready To Move,EPIP Zone,1285,2.0,2.0,82.0,2.0
Super built-up  Area,Ready To Move,Langford Town,912,2.0,1.0,70.0,3.0
Built-up  Area,Ready To Move,Whitefield,1225,2.0,2.0,47.6,2.0
Super built-up  Area,Ready To Move,Whitefield,1075,2.0,1.0,53.0,2.0
Built-up  Area,Ready To Move,Kadugodi,1260,2.0,2.0,54.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,1282,2.0,2.0,48.7,3.0
Super built-up  Area,Ready To Move,Kogilu,1909,3.0,2.0,88.0,3.0
Super built-up  Area,Ready To Move,Panathur,1359,2.0,1.0,87.0,2.0
Built-up  Area,Ready To Move,Nagondanahalli,1207,2.0,2.0,43.5,2.0
Super built-up  Area,Ready To Move,Kammasandra,1595,3.0,2.0,65.0,3.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",1798,3.0,2.0,89.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475,3.0,2.0,78.29,3.0
Super built-up  Area,Ready To Move,Tala Cauvery Layout,1580,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Dasarahalli,1295,2.0,1.0,65.0,2.0
Super built-up  Area,Ready To Move,Electronic City,589,1.0,1.0,27.0,1.0
Super built-up  Area,Ready To Move,Ngef Layout,1415,3.0,3.0,78.0,3.0
Super built-up  Area,18-Dec,Sarjapur  Road,1787,3.0,2.0,98.29,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1787,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Koramangala,1475,2.0,3.0,90.0,3.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",2000,4.0,1.0,75.5,4.0
Super built-up  Area,19-Mar,Sarjapur  Road,984,2.0,1.0,44.28,2.0
Super built-up  Area,19-Dec,Devanahalli,1520 - 1740,2.0,2.0,74.82,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080,2.0,2.0,72.0,2.0
Plot  Area,Ready To Move,Shantiniketan Layout,1500,2.0,1.0,115.0,2.0
Super built-up  Area,Ready To Move,Hebbal,1900,3.0,2.0,119.0,3.0
Super built-up  Area,19-Aug,Dommasandra,805,2.0,1.0,22.14,2.0
Super built-up  Area,Ready To Move,Budigere,1153,2.0,2.0,56.4,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1148,2.0,2.0,60.0,2.0
Super built-up  Area,Ready To Move,Mylasandra,1110,2.0,2.0,55.0,2.0
Built-up  Area,Ready To Move,Electronic City,1100,2.0,2.0,42.0,2.0
Super built-up  Area,Ready To Move,Kalyan nagar,1290,2.0,2.0,110.0,2.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,1500,2.0,1.0,65.0,3.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,1080,2.0,2.0,39.0,2.0
Super built-up  Area,21-Jun,Vijayanagar,1933,3.0,1.0,129.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3500,5.0,2.0,150.0,5.0
Built-up  Area,Ready To Move,Kullappa Colony,1060,2.0,2.0,60.0,2.0
Super built-up  Area,18-Aug,Chandapura,645,1.0,1.0,16.45,1.0
Super built-up  Area,18-Sep,Chandapura,645,1.0,1.0,16.45,1.0
Super built-up  Area,Ready To Move,Ashwath Nagar,1644,3.0,3.0,84.0,3.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,1285,2.0,3.0,72.5,2.0
Plot  Area,Ready To Move,Electronic City,1200,3.0,1.0,90.0,3.0
Super built-up  Area,Ready To Move,Electronic City,910,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Kothanur,1577,3.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,OMBR Layout,2420,3.0,2.0,185.0,3.0
Super built-up  Area,Ready To Move,Chandapura,800,1.0,1.0,20.0,2.0
Built-up  Area,Ready To Move,Anand Nagar,1060,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270,2.0,2.0,93.0,2.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,900,2.0,2.0,22.5,2.0
Built-up  Area,Ready To Move,Kundalahalli Colony,1280,2.0,1.0,69.0,2.0
Plot  Area,Ready To Move,Horamavu Agara,1200,2.0,0.0,95.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,1025,2.0,2.0,36.0,2.0
Super built-up  Area,17-Jun,Electronic City,1108,2.0,1.0,63.0,2.0
Plot  Area,Ready To Move,MCECHS  layout,1200,5.0,2.0,170.0,5.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3045,3.0,2.0,170.0,3.0
Super built-up  Area,Ready To Move,Vijayanagar,1500,3.0,2.0,75.5,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295,2.0,2.0,43.9,2.0
Super built-up  Area,Ready To Move,Budigere,1162,2.0,1.0,59.9,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1035,2.0,2.0,49.2,2.0
Built-up  Area,Ready To Move,Attibele,1600,4.0,0.0,52.8,4.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,1464,3.0,2.0,46.0,3.0
Super built-up  Area,18-Oct,Hennur Road,1866,2.0,2.0,61.58,3.0
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,700,1.0,1.0,26.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1804,3.0,2.0,120.0,3.0
Super built-up  Area,Ready To Move,Sarjapur,913,2.0,1.0,32.0,2.0
Super built-up  Area,21-Dec,Talaghattapura,1868,3.0,2.0,131.0,3.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,883,2.0,1.0,45.0,2.0
Plot  Area,Ready To Move,Sundara Nagar,900,2.0,1.0,110.0,2.0
Super built-up  Area,Ready To Move,Kogilu,1664,2.0,3.0,73.95,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,2026,3.0,2.0,132.0,3.0
Super built-up  Area,Ready To Move,Balagere,1210,2.0,1.0,80.9,2.0
Super built-up  Area,Ready To Move,Kadugodi,1762,3.0,3.0,91.45,3.0
Super built-up  Area,Ready To Move,Jigani,1252,3.0,3.0,55.0,3.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,861,2.0,1.0,34.5,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1420,2.0,1.0,100.0,3.0
Built-up  Area,Ready To Move,Electronics City Phase 1,1490,3.0,1.0,78.8,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1075,2.0,1.0,46.0,3.0
Super built-up  Area,18-Aug,Old Madras Road,1425,2.0,2.0,94.0,3.0
Built-up  Area,Ready To Move,Kalena Agrahara,1200,2.0,1.0,40.0,2.0
Super built-up  Area,Ready To Move,Kaggadasapura,1280,2.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Silver Springs Layout,1084,2.0,2.0,50.0,2.0
Super built-up  Area,18-Jul,Chandapura,1015,2.0,2.0,25.88,2.0
Super built-up  Area,21-May,Kanakpura Road,1017,2.0,1.0,51.25,2.0
Super built-up  Area,Ready To Move,Haralur Road,1027,2.0,2.0,44.0,2.0
Super built-up  Area,Ready To Move,Electronic City Phase II,1069,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Hebbal,1349,2.0,1.0,98.2,2.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Jakkur,1417,2.0,3.0,75.0,2.0
Plot  Area,18-Jan,TC Palaya,1475,3.0,1.0,98.0,3.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,950,2.0,2.0,47.0,2.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,2000,4.0,0.0,120.0,4.0
Plot  Area,Ready To Move,Giri Nagar,880,3.0,1.0,140.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1863,3.0,2.0,104.0,4.0
Super built-up  Area,Ready To Move,Singasandra,1010,2.0,1.0,29.5,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1425,2.0,1.0,70.0,3.0
Super built-up  Area,Ready To Move,Vijayanagar,1450,3.0,0.0,100.0,3.0
Super built-up  Area,Ready To Move,Kothanur,1847,3.0,2.0,105.0,3.0
Super built-up  Area,Ready To Move,AECS Layout,1100,2.0,3.0,45.0,2.0
Super built-up  Area,20-Dec,Kanakpura Road,525,1.0,1.0,26.0,1.0
Super built-up  Area,Ready To Move,Mallasandra,1665,3.0,2.0,95.0,3.0
Super built-up  Area,Ready To Move,Begur,1664,4.0,3.0,65.0,4.0
Super built-up  Area,Ready To Move,JP Nagar,1850,3.0,3.0,150.0,3.0
Super built-up  Area,Ready To Move,Panathur,1438,2.0,3.0,100.0,2.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,1560,3.0,3.0,115.0,3.0
Super built-up  Area,18-Apr,Yelahanka,1350,2.0,1.0,55.55,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1550,3.0,3.0,67.0,3.0
Super built-up  Area,18-Apr,Malleshpalya,1140,2.0,2.0,46.5,2.0
Plot  Area,Ready To Move,Srirampura,1200,5.0,2.0,180.0,5.0
Super built-up  Area,18-Dec,Kodathi,850,2.0,2.0,27.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1280,2.0,2.0,75.0,2.0
Built-up  Area,Ready To Move,Munnekollal,1170,2.0,2.0,52.0,2.0
Super built-up  Area,Ready To Move,Motappa Layout,1113,2.0,1.0,51.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,1385,2.0,1.0,83.09,2.0
Super built-up  Area,18-Apr,Electronic City,1128,2.0,1.0,65.0,2.0
Plot  Area,Ready To Move,Marathahalli,1200,2.0,2.0,128.0,2.0
Plot  Area,Ready To Move,Akshaya Vana,1200,4.0,3.0,165.0,4.0
Super built-up  Area,Ready To Move,Haralur Road,1464,3.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Manayata Tech Park,1200,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,1200,2.0,2.0,52.0,2.0
Super built-up  Area,Ready To Move,Kaggalipura,1150,2.0,1.0,55.0,3.0
Built-up  Area,Ready To Move,Basavanna Nagar,1645,3.0,2.0,95.0,3.0
Super built-up  Area,20-Mar,Sarjapur  Road,1000,2.0,1.0,67.0,2.0
Plot  Area,Ready To Move,Haralur Road,2650,4.0,2.0,198.0,4.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192,2.0,2.0,74.0,2.0
Super built-up  Area,19-Dec,Whitefield,1173,2.0,1.0,58.0,2.0
Built-up  Area,Ready To Move,Uttarahalli,1020,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Somasundara Palya,1600,3.0,3.0,64.0,3.0
Plot  Area,18-Mar,T.C PALYA,1200,2.0,0.0,79.0,2.0
Carpet  Area,Ready To Move,Muneshwara Nagar,1230,2.0,3.0,48.0,2.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,1250,2.0,2.0,40.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1325,2.0,2.0,76.0,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1850,3.0,1.0,150.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,525,2.0,2.0,21.53,1.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,1200,2.0,2.0,65.0,2.0
Plot  Area,Ready To Move,Bull Temple Road,1350,2.0,0.0,140.0,3.0
Super built-up  Area,18-Jun,Bommasandra,1260,3.0,1.0,49.36,3.0
Super built-up  Area,Ready To Move,Prashanth Nagar,1800,3.0,0.0,150.0,3.0
Plot  Area,18-Dec,Suragajakkanahalli,11,3.0,2.0,74.0,3.0
Built-up  Area,Ready To Move,Ardendale,1100,2.0,1.0,43.25,2.0
Super built-up  Area,Ready To Move,Harlur,1508,2.0,1.0,77.0,2.0
Carpet  Area,Ready To Move,Sampigehalli,1592,3.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,1388,2.0,3.0,57.0,2.0
Super built-up  Area,18-May,Electronic City Phase II,630,1.0,1.0,28.35,1.0
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,1762,3.0,1.0,125.0,3.0
Super built-up  Area,21-Dec,Bagalur Main Road,950,2.0,2.0,50.0,2.0
Super built-up  Area,18-Aug,Magadi Road,1116,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Narayanapura,1308,2.0,2.0,89.04,2.0
Super built-up  Area,Ready To Move,MS Pallya,1200,3.0,0.0,90.0,3.0
Built-up  Area,Ready To Move,Bannerghatta Road,500,1.0,1.0,18.5,1.0
Super built-up  Area,Ready To Move,Hennur,1075,2.0,1.0,52.0,2.0
Super built-up  Area,18-Mar,Chandapura,530,1.0,0.0,11.66,1.0
Built-up  Area,Ready To Move,Bellandur,1205,2.0,3.0,66.0,2.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1075,2.0,2.0,60.0,2.0
Built-up  Area,Ready To Move,KR Puram,930,2.0,2.0,39.0,2.0
Super built-up  Area,Ready To Move,Balagere,1380,2.0,1.0,60.0,2.0
